,17-AAG,AEW541,AZD0530,AZD6244,Erlotinib,Irinotecan,L-685458,LBW242,Lapatinib,Nilotinib,Nutlin-3,PD-0325901,PD-0332991,PF2341066,PHA-665752,PLX4720,Paclitaxel,Panobinostat,RAF265,Sorafenib,TAE684,TKI258,Topotecan,ZD-6474
1321N1,1.0,0.0,1.0,,1.0,,1.0,,1.0,,,0.0,,1.0,,,,1.0,1.0,,1.0,0.0,1.0,1.0
22Rv1,0.0,1.0,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,
42-MG-BA,1.0,1.0,0.0,,1.0,,1.0,,,,,0.0,,,,,,1.0,,,1.0,,1.0,
5637,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
639-V,1.0,1.0,1.0,1.0,,1.0,,,,1.0,,1.0,0.0,0.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
697,0.0,0.0,1.0,,0.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0
769-P,1.0,1.0,1.0,1.0,1.0,0.0,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,1.0
786-O,0.0,1.0,1.0,,0.0,1.0,,,0.0,0.0,,,,,1.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,
8-MG-BA,1.0,1.0,0.0,,0.0,,1.0,1.0,,,1.0,1.0,,1.0,,0.0,1.0,0.0,,,1.0,,1.0,0.0
8305C,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,
8505C,0.0,1.0,,1.0,,1.0,,,1.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,
A-204,1.0,1.0,0.0,,,1.0,,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A-253,0.0,,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
A-375,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
A-673,1.0,1.0,1.0,,1.0,,,1.0,,,,,0.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
A172,1.0,1.0,,,,1.0,,,,,0.0,0.0,,1.0,,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,
A2058,1.0,0.0,,1.0,,1.0,,,0.0,,,1.0,,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,0.0
A2780,1.0,0.0,,1.0,0.0,1.0,1.0,,0.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A549,1.0,1.0,0.0,0.0,1.0,1.0,,,0.0,1.0,0.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
ACHN,0.0,0.0,1.0,1.0,1.0,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
ALL-SIL,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AMO-1,1.0,,1.0,0.0,1.0,1.0,1.0,,,1.0,0.0,1.0,0.0,0.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
AN3 CA,1.0,1.0,1.0,0.0,1.0,,0.0,,,,1.0,0.0,1.0,,,,1.0,0.0,0.0,,,0.0,0.0,1.0
AU565,1.0,0.0,,,1.0,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,0.0,1.0,,0.0,1.0,0.0
AZ-521,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,1.0,0.0,,,,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
AsPC-1,1.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,,1.0,0.0,,1.0,1.0,1.0,,1.0,1.0,0.0,1.0
B-CPAP,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,,1.0,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,
BDCM,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,1.0,1.0
BFTC-909,1.0,0.0,1.0,,,,0.0,,,,,1.0,0.0,1.0,,,1.0,1.0,0.0,,0.0,1.0,1.0,0.0
BGC-823,1.0,1.0,,,0.0,0.0,0.0,,0.0,,,1.0,,1.0,,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,
BL-41,0.0,1.0,,,,1.0,,,1.0,,,,1.0,0.0,,,1.0,1.0,0.0,,,0.0,1.0,
BL-70,0.0,,1.0,,,1.0,,,1.0,,,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,0.0,1.0,1.0
BT-20,,,,,,1.0,1.0,,,,,,,,,,,0.0,,,0.0,,1.0,1.0
BT-474,1.0,,1.0,,1.0,,1.0,,1.0,0.0,,,1.0,,1.0,,1.0,1.0,1.0,1.0,0.0,,1.0,1.0
BT-549,1.0,1.0,1.0,,,1.0,,,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
BxPC-3,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,1.0,,,,1.0,1.0,0.0,,,0.0,1.0,1.0,1.0
C2BBe1,0.0,1.0,1.0,1.0,1.0,,,,1.0,0.0,,,1.0,,,,1.0,1.0,,,1.0,,0.0,1.0
C32,1.0,1.0,,1.0,,0.0,,,,1.0,,1.0,1.0,,,1.0,0.0,0.0,1.0,,1.0,,1.0,
C3A,1.0,,,1.0,,,,1.0,1.0,,,1.0,0.0,1.0,,,,1.0,1.0,,1.0,,1.0,
